"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Aug 22 12:13:22 EDT 2022","Mon Aug 22 12:13:23 EDT 2022","1159","","My Login application1","","My Login application1","should login with valid credentials","should login with valid credentials",""
"passed","Mon Aug 22 12:19:33 EDT 2022","Mon Aug 22 12:19:34 EDT 2022","944","","My Login application2","","My Login application2","should login with valid credentials","should login with valid credentials",""
